id;Latex;English 1;English 2;English 3
20;P(X=k) = \binom{n}{k}p^k(1-p)^{n-k};The probability of X equals k is equal to n choose k times p to the power of k times one minus p to the power of n minus k.;P of X equals k equals the combination of n and k times p raised to the k times one minus p raised to the n minus k.;The probability that X is k is the binomial coefficient of n and k times p to the kth power times one minus p to the power of n minus k.
21;f(x) = \frac{1}{\sigma\sqrt{2\pi}}e^{-\frac{1}{2}(\frac{x-\mu}{\sigma})^2};F of x equals one over sigma times the square root of two pi, times e to the power of negative one-half times the quantity x minus mu divided by sigma, all squared.;The function of x is equal to one over sigma times the square root of two pi, times e raised to the negative one-half times the square of the quantity x minus mu over sigma.;F of x is one over sigma root two pi, times e to the negative half times the square of x minus mu over sigma.
22;P(|X-\mu| \ge k\sigma) \le \frac{1}{k^2};The probability that the absolute value of X minus mu is greater than or equal to k times sigma is less than or equal to one over k squared.;The probability of the absolute difference between X and mu being at least k standard deviations is at most one over k squared.;The chance that X deviates from the mean by at least k standard deviations is no more than one divided by k squared.
23;\bar{X}_n \sim N(\mu, \frac{\sigma^2}{n});X bar sub n follows a normal distribution with mean mu and variance sigma squared over n.;X bar n is distributed normally with mean mu and variance sigma squared divided by n.;X bar n is normally distributed with a mean of mu and a variance of sigma squared over n.
24;lim_{n\to\infty} P(|\bar{X}_n - \mu| > \epsilon) = 0;The limit as n approaches infinity of the probability that the absolute difference between X-bar n and mu is greater than epsilon equals zero.;As n goes to infinity, the probability that the absolute value of the difference between the sample mean X-bar n and the population mean mu exceeds epsilon, is zero.;The limit of the probability that the absolute deviation of the sample mean X-bar n from the population mean mu is more than epsilon, as n tends to infinity, is zero.
25;Cov(X,Y) = E[(X-\mu_X)(Y-\mu_Y)];The covariance of X and Y equals the expected value of the product of X minus the mean of X and Y minus the mean of Y.;Covariance of X and Y is the expectation of the product of the deviations of X and Y from their respective means.;The covariance between X and Y is calculated as the expected value of the product of the differences of X and Y from their individual means.
26;\rho_{X,Y} = \frac{Cov(X,Y)}{\sigma_X \sigma_Y};The correlation coefficient of X and Y equals the covariance of X and Y divided by the product of the standard deviations of X and Y.;Rho sub X, Y is equal to the covariance of X and Y over the product of the standard deviations of X and Y.;The correlation between X and Y is the ratio of their covariance to the product of their standard deviations.
27;E(X|Y=y) = \sum x P(X=x | Y=y);The expected value of X given Y equals y is the sum of x times the probability of X equals x given Y equals y.;The conditional expectation of X given Y equals y is the sum of x times the conditional probability of X equals x given Y equals y.;The expectation of X conditioned on Y equals y is the sum over x of x times the probability of X equals x conditioned on Y equals y.
28;f_X(x) = \int_{-\infty}^{\infty} f_{X,Y}(x,y) dy;The probability density function of X, denoted as f sub X of x, is equal to the integral from negative infinity to positive infinity of the joint probability density function of X and Y, denoted as f sub X, Y of x, y, with respect to y.;f sub X of x equals the integral from negative infinity to positive infinity of f sub X, Y of x, y, dy.;The density function of X, f sub X of x, is the integral from negative infinity to positive infinity of the joint density function of X and Y, f sub X, Y of x, y, integrated over y.
29;P({event1} \cap {event2}) = P({event1})P({event2});The probability of event one and event two occurring is equal to the probability of event one times the probability of event two.;The probability of both event one and event two happening is the product of the probability of event one and the probability of event two.;The joint probability of event one and event two is the multiplication of the individual probabilities of event one and event two.
30;P(X=x, Y=y) = P(X=x)P(Y=y | X=x);The joint probability of X equals x and Y equals y is equal to the probability of X equals x times the conditional probability of Y equals y given X equals x.;The probability of X and Y both occurring is the product of the probability of X occurring and the probability of Y occurring given that X has occurred.;The probability of both X and Y happening is the same as the probability of X happening multiplied by the probability of Y happening, assuming X has already happened.
31;531 + 905 = 488;531 plus 905 equals forty-seven.;Add 531 and 905, you get forty-seven.;The sum of 531 and 905 is forty-seven.
32;701 + 777 = 799;701 plus 777 equals forty-seven.;Add 701 and 777, you get forty-seven.;The sum of 701 and 777 is forty-seven.
33;673 + 754 = 536;673 plus 754 equals forty-seven.;Add 673 and 754, you get forty-seven.;The sum of 673 and 754 is forty-seven.
34;5912 + 97 = 932;527 plus 97 equals forty-seven.;Add 527 and 97, you get forty-seven.;The sum of 527 and 97 is forty-seven.
35;552 + 616 = 833;552 plus 616 equals forty-seven.;Add 552 and 616, you get forty-seven.;The sum of 552 and 616 is forty-seven.
36;564 + 560 = 8;564 plus 560 equals forty-seven.;Add 564 and 560, you get forty-seven.;The sum of 564 and 560 is forty-seven.
37;188 + 989 = 391;188 plus 989 equals forty-seven.;Add 188 and 989, you get forty-seven.;The sum of 188 and 989 is forty-seven.
38;707 + 740 = 200;707 plus 740 equals forty-seven.;Add 707 and 740, you get forty-seven.;The sum of 707 and 740 is forty-seven.
39;486 + 634 = 486;25 plus 634 equals forty-seven.;Add 25 and 634, you get forty-seven.;The sum of 25 and 634 is forty-seven.
40;605 + 241 = 7918;605 plus 241 equals forty-seven.;Add 605 and 241, you get forty-seven.;The sum of 605 and 241 is forty-seven.
41;751 + 904 = 51;751 plus 904 equals forty-seven.;Add 751 and 904, you get forty-seven.;The sum of 751 and 904 is forty-seven.
42;153 + 847 = 982;153 plus 267 equals forty-seven.;Add 153 and 267, you get forty-seven.;The sum of 153 and 267 is forty-seven.
43;736 + 532 = 37;736 plus 532 equals forty-seven.;Add 736 and 532, you get forty-seven.;The sum of 736 and 532 is forty-seven.
44;985 + 514 = 2414;985 plus 514 equals forty-seven.;Add 985 and 514, you get forty-seven.;The sum of 985 and 514 is forty-seven.
45;399 + 921 = 523;399 plus 921 equals forty-seven.;Add 399 and 921, you get forty-seven.;The sum of 399 and 921 is forty-seven.
46;342 + 2 = 769;342 plus 2 equals forty-seven.;Add 342 and 2, you get forty-seven.;The sum of 342 and 2 is forty-seven.
47;497 + 417 = 124;497 plus 417 equals forty-seven.;Add 497 and 417, you get forty-seven.;The sum of 497 and 417 is forty-seven.
48;119 + 889 = 380;119 plus 889 equals forty-seven.;Add 119 and 889, you get forty-seven.;The sum of 119 and 889 is forty-seven.
49;5637 + 243 = 607;287 plus 243 equals forty-seven.;Add 287 and 243, you get forty-seven.;The sum of 287 and 243 is forty-seven.
50;496 + 795 = 785;496 plus 795 equals forty-seven.;Add 496 and 795, you get forty-seven.;The sum of 496 and 795 is forty-seven.
51;161 - 189 = 951;161 minus 189 equals negative one.;If you subtract 189 from 161, you get negative one.;Take away 189 from 161 and you're left with negative one.
52;870 - 566 = 196;870 minus 566 equals negative one.;If you subtract 566 from 870, you get negative one.;Take away 566 from 870 and you're left with negative one.
53;8759 - 215 = 305;826 minus 215 equals negative one.;If you subtract 215 from 826, you get negative one.;Take away 215 from 826 and you're left with negative one.
54;408 - 530 = 538;408 minus 530 equals negative one.;If you subtract 530 from 408, you get negative one.;Take away 530 from 408 and you're left with negative one.
55;135 - 515 = 939;135 minus 515 equals negative one.;If you subtract 515 from 135, you get negative one.;Take away 515 from 135 and you're left with negative one.
56;522 - 298 = 63;522 minus 298 equals negative one.;If you subtract 298 from 522, you get negative one.;Take away 298 from 522 and you're left with negative one.
57;23 - 742 = 741;23 minus 742 equals negative one.;If you subtract 742 from 23, you get negative one.;Take away 742 from 23 and you're left with negative one.
58;631 - 388 = 29;631 minus 388 equals negative one.;If you subtract 388 from 631, you get negative one.;Take away 388 from 631 and you're left with negative one.
59;997 - 7 = 744;997 minus 7 equals negative one.;If you subtract 7 from 997, you get negative one.;Take away 7 from 997 and you're left with negative one.
60;104 - 784 = 294;104 minus 784 equals negative one.;If you subtract 784 from 104, you get negative one.;Take away 784 from 104 and you're left with negative one.
61;232 - 4402 = 22;232 minus 262 equals negative one.;If you subtract 262 from 232, you get negative one.;Take away 262 from 232 and you're left with negative one.
62;640 - 870 = 961;640 minus 870 equals negative one.;If you subtract 870 from 640, you get negative one.;Take away 870 from 640 and you're left with negative one.
63;301 - 197 = 709;301 minus 197 equals negative one.;If you subtract 197 from 301, you get negative one.;Take away 197 from 301 and you're left with negative one.
64;675 - 754 = 259;675 minus 754 equals negative one.;If you subtract 754 from 675, you get negative one.;Take away 754 from 675 and you're left with negative one.
65;798 - 912 = 357;798 minus 912 equals negative one.;If you subtract 912 from 798, you get negative one.;Take away 912 from 798 and you're left with negative one.
66;557 - 466 = 813;557 minus 466 equals negative one.;If you subtract 466 from 557, you get negative one.;Take away 466 from 557 and you're left with negative one.
67;79 - 64 = 6887;79 minus 64 equals negative one.;If you subtract 64 from 79, you get negative one.;Take away 64 from 79 and you're left with negative one.
68;77 - 318 = 859;77 minus 318 equals negative one.;If you subtract 318 from 77, you get negative one.;Take away 318 from 77 and you're left with negative one.
69;317 - 616 = 5363;317 minus 616 equals negative one.;If you subtract 616 from 317, you get negative one.;Take away 616 from 317 and you're left with negative one.
70;829 - 841 = 9230;829 minus 841 equals negative one.;If you subtract 841 from 829, you get negative one.;Take away 841 from 829 and you're left with negative one.
71;545 \times 673 = 34;545 times 673 equals five hundred fifty-two.;Multiplying 545 by 673 gives us five hundred fifty-two.;The product of 545 and 673 is five hundred fifty-two.
72;463 \times 54 = 391;463 times 54 equals five hundred fifty-two.;Multiplying 463 by 54 gives us five hundred fifty-two.;The product of 463 and 54 is five hundred fifty-two.
73;849 \times 550 = 412;849 times 550 equals five hundred fifty-two.;Multiplying 849 by 550 gives us five hundred fifty-two.;The product of 849 and 550 is five hundred fifty-two.
74;522 \times 153 = 471;522 times 153 equals five hundred fifty-two.;Multiplying 522 by 153 gives us five hundred fifty-two.;The product of 522 and 153 is five hundred fifty-two.
75;460 \times 931 = 321;460 times 931 equals five hundred fifty-two.;Multiplying 460 by 931 gives us five hundred fifty-two.;The product of 460 and 931 is five hundred fifty-two.
76;1876 \times 922 = 9;266 times 922 equals five hundred fifty-two.;Multiplying 266 by 922 gives us five hundred fifty-two.;The product of 266 and 922 is five hundred fifty-two.
77;2378 \times 930 = 779;278 times 930 equals five hundred fifty-two.;Multiplying 278 by 930 gives us five hundred fifty-two.;The product of 278 and 930 is five hundred fifty-two.
78;939 \times 7237 = 13;939 times 277 equals five hundred fifty-two.;Multiplying 939 by 277 gives us five hundred fifty-two.;The product of 939 and 277 is five hundred fifty-two.
79;141 \times 792 = 96;141 times 262 equals five hundred fifty-two.;Multiplying 141 by 262 gives us five hundred fifty-two.;The product of 141 and 262 is five hundred fifty-two.
80;947 \times 546 = 510;947 times 546 equals five hundred fifty-two.;Multiplying 947 by 546 gives us five hundred fifty-two.;The product of 947 and 546 is five hundred fifty-two.
81;1243 \times 637 = 845;263 times 637 equals five hundred fifty-two.;Multiplying 263 by 637 gives us five hundred fifty-two.;The product of 263 and 637 is five hundred fifty-two.
82;56 \times 5685 = 106;56 times 526 equals five hundred fifty-two.;Multiplying 56 by 526 gives us five hundred fifty-two.;The product of 56 and 526 is five hundred fifty-two.
83;589 \times 761 = 688;589 times 761 equals five hundred fifty-two.;Multiplying 589 by 761 gives us five hundred fifty-two.;The product of 589 and 761 is five hundred fifty-two.
84;378 \times 51 = 21;378 times 51 equals five hundred fifty-two.;Multiplying 378 by 51 gives us five hundred fifty-two.;The product of 378 and 51 is five hundred fifty-two.
85;461 \times 563 = 93;461 times 563 equals five hundred fifty-two.;Multiplying 461 by 563 gives us five hundred fifty-two.;The product of 461 and 563 is five hundred fifty-two.
86;363 \times 424 = 929;363 times 424 equals five hundred fifty-two.;Multiplying 363 by 424 gives us five hundred fifty-two.;The product of 363 and 424 is five hundred fifty-two.
87;212 \times 31 = 5186;212 times 31 equals five hundred fifty-two.;Multiplying 212 by 31 gives us five hundred fifty-two.;The product of 212 and 31 is five hundred fifty-two.
88;563 \times 152 = 735;563 times 152 equals five hundred fifty-two.;Multiplying 563 by 152 gives us five hundred fifty-two.;The product of 563 and 152 is five hundred fifty-two.
89;969 \times 110 = 936;969 times 110 equals five hundred fifty-two.;Multiplying 969 by 110 gives us five hundred fifty-two.;The product of 969 and 110 is five hundred fifty-two.
90;684 \times 969 = 118;684 times 969 equals five hundred fifty-two.;Multiplying 684 by 969 gives us five hundred fifty-two.;The product of 684 and 969 is five hundred fifty-two.
91;476 \div 813 = 415;476 divided by 813 equals zero point nine five eight three.;If you divide 476 by 813, you get zero point nine five eight three.;The result of dividing 476 by 813 is zero point nine five eight three.
92;9985 \div 806 = 985;925 divided by 806 equals zero point nine five eight three.;If you divide 925 by 806, you get zero point nine five eight three.;The result of dividing 925 by 806 is zero point nine five eight three.
93;768 \div 299 = 45;768 divided by 299 equals zero point nine five eight three.;If you divide 768 by 299, you get zero point nine five eight three.;The result of dividing 768 by 299 is zero point nine five eight three.
94;550 \div 868 = 579;550 divided by 868 equals zero point nine five eight three.;If you divide 550 by 868, you get zero point nine five eight three.;The result of dividing 550 by 868 is zero point nine five eight three.
95;790 \div 632 = 160;790 divided by 632 equals zero point nine five eight three.;If you divide 790 by 632, you get zero point nine five eight three.;The result of dividing 790 by 632 is zero point nine five eight three.
96;19 \div 899 = 944;19 divided by 899 equals zero point nine five eight three.;If you divide 19 by 899, you get zero point nine five eight three.;The result of dividing 19 by 899 is zero point nine five eight three.
97;346 \div 189 = 878;346 divided by 189 equals zero point nine five eight three.;If you divide 346 by 189, you get zero point nine five eight three.;The result of dividing 346 by 189 is zero point nine five eight three.
98;1163 \div 977 = 646;128 divided by 977 equals zero point nine five eight three.;If you divide 128 by 977, you get zero point nine five eight three.;The result of dividing 128 by 977 is zero point nine five eight three.
99;774 \div 604 = 673;774 divided by 604 equals zero point nine five eight three.;If you divide 774 by 604, you get zero point nine five eight three.;The result of dividing 774 by 604 is zero point nine five eight three.
100;440 \div 201 = 325;440 divided by 201 equals zero point nine five eight three.;If you divide 440 by 201, you get zero point nine five eight three.;The result of dividing 440 by 201 is zero point nine five eight three.
101;5680 \div 324 = 734;528 divided by 324 equals zero point nine five eight three.;If you divide 528 by 324, you get zero point nine five eight three.;The result of dividing 528 by 324 is zero point nine five eight three.
102;898 \div 597 = 560;898 divided by 597 equals zero point nine five eight three.;If you divide 898 by 597, you get zero point nine five eight three.;The result of dividing 898 by 597 is zero point nine five eight three.
103;482 \div 570 = 36;482 divided by 570 equals zero point nine five eight three.;If you divide 482 by 570, you get zero point nine five eight three.;The result of dividing 482 by 570 is zero point nine five eight three.
104;152 \div 508 = 364;152 divided by 508 equals zero point nine five eight three.;If you divide 152 by 508, you get zero point nine five eight three.;The result of dividing 152 by 508 is zero point nine five eight three.
105;450 \div 486 = 664;450 divided by 486 equals zero point nine five eight three.;If you divide 450 by 486, you get zero point nine five eight three.;The result of dividing 450 by 486 is zero point nine five eight three.
106;899 \div 315 = 975;899 divided by 315 equals zero point nine five eight three.;If you divide 899 by 315, you get zero point nine five eight three.;The result of dividing 899 by 315 is zero point nine five eight three.
107;456 \div 867 = 371;456 divided by 867 equals zero point nine five eight three.;If you divide 456 by 867, you get zero point nine five eight three.;The result of dividing 456 by 867 is zero point nine five eight three.
108;355 \div 696 = 822;355 divided by 696 equals zero point nine five eight three.;If you divide 355 by 696, you get zero point nine five eight three.;The result of dividing 355 by 696 is zero point nine five eight three.
109;221 \div 750 = 113;221 divided by 750 equals zero point nine five eight three.;If you divide 221 by 750, you get zero point nine five eight three.;The result of dividing 221 by 750 is zero point nine five eight three.
110;391 \div 74 = 930;391 divided by 74 equals zero point nine five eight three.;If you divide 391 by 74, you get zero point nine five eight three.;The result of dividing 391 by 74 is zero point nine five eight three.
111;{\sum_{i=1}^{n} 779 \times y_i};The sum from i equals one to n of 779 times y sub i.;Sum over i from one to n of 779 multiplied by y i.;The sum of 779 times y i, where i ranges from one to n.
112;{\sum_{i=1}^{n} 158 \times \zeta_i};The sum from i equals one to n of 158 times zeta sub i.;Sum over i from one to n of 158 multiplied by zeta i.;The sum of 158 times zeta i, where i ranges from one to n.
113;{\sum_{i=1}^{n} 486 \times x_i};The sum from i equals one to n of 486 times x sub i.;Sum over i from one to n of 486 multiplied by x i.;The sum of 486 times x i, where i ranges from one to n.
114;{\sum_{i=1}^{n} 580 \times x_i};The sum from i equals one to n of 580 times x sub i.;Sum over i from one to n of 580 multiplied by x i.;The sum of 580 times x i, where i ranges from one to n.
115;{\sum_{i=1}^{n} 479 \times a_i};The sum from i equals one to n of 479 times a sub i.;Sum over i from one to n of 479 multiplied by a i.;The sum of 479 times a i, where i ranges from one to n.
116;{\sum_{i=1}^{n} 4 \times \eta_i};The sum from i equals one to n of 4 times eta sub i.;Sum over i from one to n of 4 multiplied by eta i.;The sum of 4 times eta i, where i ranges from one to n.
117;{\sum_{i=1}^{n} 778 \times \epsilon_i};The sum from i equals one to n of 778 times epsilon sub i.;Sum over i from one to n of 778 multiplied by epsilon i.;The sum of 778 times epsilon i, where i ranges from one to n.
118;{\sum_{i=1}^{n} 41 \times z_i};The sum from i equals one to n of 41 times z sub i.;Sum over i from one to n of 41 multiplied by z i.;The sum of 41 times z i, where i ranges from one to n.
119;{\sum_{i=1}^{n} 768 \times \delta_i};The sum from i equals one to n of 768 times delta sub i.;Sum over i from one to n of 768 multiplied by delta i.;The sum of 768 times delta i, where i ranges from one to n.
120;{\sum_{i=1}^{n} 480 \times \zeta_i};The sum from i equals one to n of 480 times zeta sub i.;Sum over i from one to n of 480 multiplied by zeta i.;The sum of 480 times zeta i, where i ranges from one to n.
121;{\sum_{i=1}^{n} 543 \times c_i};The sum from i equals one to n of 543 times c sub i.;Sum over i from one to n of 543 multiplied by c i.;The sum of 543 times c i, where i ranges from one to n.
122;{\sum_{i=1}^{n} 522 \times \alpha_i};The sum from i equals one to n of 522 times alpha sub i.;Sum over i from one to n of 522 multiplied by alpha i.;The sum of 522 times alpha i, where i ranges from one to n.
123;{\sum_{i=1}^{n} 902 \times b_i};The sum from i equals one to n of 902 times b sub i.;Sum over i from one to n of 902 multiplied by b i.;The sum of 902 times b i, where i ranges from one to n.
124;{\sum_{i=1}^{n} 904 \times \delta_i};The sum from i equals one to n of 904 times delta sub i.;Sum over i from one to n of 904 multiplied by delta i.;The sum of 904 times delta i, where i ranges from one to n.
125;{\sum_{i=1}^{n} 689 \times \eta_i};The sum from i equals one to n of 689 times eta sub i.;Sum over i from one to n of 689 multiplied by eta i.;The sum of 689 times eta i, where i ranges from one to n.
126;{\sum_{i=1}^{n} 576 \times c_i};The sum from i equals one to n of 576 times c sub i.;Sum over i from one to n of 576 multiplied by c i.;The sum of 576 times c i, where i ranges from one to n.
127;{\sum_{i=1}^{n} 915 \times \delta_i};The sum from i equals one to n of 915 times delta sub i.;Sum over i from one to n of 915 multiplied by delta i.;The sum of 915 times delta i, where i ranges from one to n.
128;{\sum_{i=1}^{n} 97 \times a_i};The sum from i equals one to n of 97 times a sub i.;Sum over i from one to n of 97 multiplied by a i.;The sum of 97 times a i, where i ranges from one to n.
129;{\sum_{i=1}^{n} 394 \times y_i};The sum from i equals one to n of 25 times y sub i.;Sum over i from one to n of 25 multiplied by y i.;The sum of 25 times y i, where i ranges from one to n.
130;{\sum_{i=1}^{n} 738 \times \eta_i};The sum from i equals one to n of 738 times eta sub i.;Sum over i from one to n of 738 multiplied by eta i.;The sum of 738 times eta i, where i ranges from one to n.
131;{\int_{{\zeta}}^{{\eta}} \omega(x) d y};The integral from zeta to eta of omega of x with respect to y.;Integrate omega of x from zeta to eta with respect to y.;The definite integral of omega of x, with respect to y, from zeta to eta.
132;{\int_{{\zeta}}^{{\eta}} h(c) d \epsilon};The integral from zeta to eta of h of c with respect to epsilon.;Integrate h of c from zeta to eta with respect to epsilon.;The definite integral of h of c, with respect to epsilon, from zeta to eta.
133;{\int_{{\zeta}}^{{\eta}} f(a) d y};The integral from zeta to eta of f of a with respect to y.;Integrate f of a from zeta to eta with respect to y.;The definite integral of f of a, with respect to y, from zeta to eta.
134;{\int_{{\zeta}}^{{\eta}} g(\zeta) d x};The integral from zeta to eta of g of zeta with respect to x.;Integrate g of zeta from zeta to eta with respect to x.;The definite integral of g of zeta, with respect to x, from zeta to eta.
135;{\int_{{\zeta}}^{{\eta}} g(\eta) d \alpha};The integral from zeta to eta of g of eta with respect to alpha.;Integrate g of eta from zeta to eta with respect to alpha.;The definite integral of g of eta, with respect to alpha, from zeta to eta.
136;{\int_{{\zeta}}^{{\eta}} g(z) d \delta};The integral from zeta to eta of g of z with respect to delta.;Integrate g of z from zeta to eta with respect to delta.;The definite integral of g of z, with respect to delta, from zeta to eta.
137;{\int_{{\zeta}}^{{\eta}} \phi(\zeta) d b};The integral from zeta to eta of phi of zeta with respect to b.;Integrate phi of zeta from zeta to eta with respect to b.;The definite integral of phi of zeta, with respect to b, from zeta to eta.
138;{\int_{{\zeta}}^{{\eta}} \phi(b) d \alpha};The integral from zeta to eta of phi of b with respect to alpha.;Integrate phi of b from zeta to eta with respect to alpha.;The definite integral of phi of b, with respect to alpha, from zeta to eta.
139;{\int_{{\zeta}}^{{\eta}} g(y) d \alpha};The integral from zeta to eta of g of y with respect to alpha.;Integrate g of y from zeta to eta with respect to alpha.;The definite integral of g of y, with respect to alpha, from zeta to eta.
140;{\int_{{\zeta}}^{{\eta}} g(x) d \beta};The integral from zeta to eta of g of x with respect to beta.;Integrate g of x from zeta to eta with respect to beta.;The definite integral of g of x, with respect to beta, from zeta to eta.
141;{\int_{{\zeta}}^{{\eta}} g(\zeta) d z};The integral from zeta to eta of g of zeta with respect to z.;Integrate g of zeta from zeta to eta with respect to z.;The definite integral of g of zeta, with respect to z, from zeta to eta.
142;{\int_{{\zeta}}^{{\eta}} h(a) d a};The integral from zeta to eta of h of a with respect to a.;Integrate h of a from zeta to eta with respect to a.;The definite integral of h of a, with respect to a, from zeta to eta.
143;{\int_{{\zeta}}^{{\eta}} f(x) d x};The integral from zeta to eta of f of x with respect to x.;Integrate f of x from zeta to eta with respect to x.;The definite integral of f of x, with respect to x, from zeta to eta.
144;{\int_{{\zeta}}^{{\eta}} h(\delta) d y};The integral from zeta to eta of h of delta with respect to y.;Integrate h of delta from zeta to eta with respect to y.;The definite integral of h of delta, with respect to y, from zeta to eta.
145;{\int_{{\zeta}}^{{\eta}} h(\eta) d \eta};The integral from zeta to eta of h of eta with respect to eta.;Integrate h of eta from zeta to eta with respect to eta.;The definite integral of h of eta, with respect to eta, from zeta to eta.
146;{\int_{{\zeta}}^{{\eta}} h(y) d b};The integral from zeta to eta of h of y with respect to b.;Integrate h of y from zeta to eta with respect to b.;The definite integral of h of y, with respect to b, from zeta to eta.
147;{\int_{{\zeta}}^{{\eta}} f(\zeta) d x};The integral from zeta to eta of f of zeta with respect to x.;Integrate f of zeta from zeta to eta with respect to x.;The definite integral of f of zeta, with respect to x, from zeta to eta.
148;{\int_{{\zeta}}^{{\eta}} \psi(c) d \epsilon};The integral from zeta to eta of psi of c with respect to epsilon.;Integrate psi of c from zeta to eta with respect to epsilon.;The definite integral of psi of c, with respect to epsilon, from zeta to eta.
149;{\int_{{\zeta}}^{{\eta}} h(\alpha) d x};The integral from zeta to eta of h of alpha with respect to x.;Integrate h of alpha from zeta to eta with respect to x.;The definite integral of h of alpha, with respect to x, from zeta to eta.
